iter	Passed	Remaining
0	200	200582
1	329	164381
2	467	155363
3	597	148857
4	736	146535
5	869	143975
6	990	140573
7	1121	139021
8	1242	136795
9	1379	136607
10	1516	136350
11	1643	135319
12	1776	134903
13	1908	134395
14	2035	133637
15	2158	132739
16	2285	132174
17	2423	132240
18	2549	131636
19	2688	131718
20	2824	131660
21	2965	131810
22	3089	131240
23	3222	131037
24	3363	131169
25	3485	130563
26	3603	129857
27	3737	129746
28	3873	129703
29	3996	129221
30	4132	129176
31	4263	128982
32	4407	129144
33	4535	128869
34	4668	128719
35	4803	128626
36	4939	128567
37	5061	128147
38	5182	127701
39	5319	127663
40	5452	127537
41	5579	127255
42	5726	127447
43	5858	127296
44	6000	127351
45	6121	126944
46	6254	126814
47	6385	126648
48	6506	126270
49	6641	126183
50	6773	126038
51	6911	125998
52	7070	126330
53	7209	126291
54	7340	126127
55	7464	125826
56	7595	125664
57	7732	125591
58	7857	125320
59	8001	125350
60	8130	125162
61	8260	124972
62	8401	124961
63	8539	124886
64	8677	124815
65	8816	124760
66	8946	124578
67	9091	124610
68	9209	124260
69	9334	124016
70	9464	123841
71	9601	123750
72	9740	123687
73	9881	123648
74	10032	123739
75	10159	123519
76	10296	123421
77	10421	123187
78	10555	123054
79	10691	122954
80	10833	122916
81	10970	122816
82	11095	122581
83	11228	122442
84	11353	122220
85	11487	122090
86	11617	121913
87	11763	121909
88	11901	121823
89	12029	121634
90	12153	121399
91	12282	121220
92	12413	121068
93	12548	120947
94	12681	120810
95	12821	120732
96	12960	120653
97	13105	120623
98	13236	120464
99	13365	120291
100	13493	120103
101	13610	119827
102	13749	119744
103	13880	119588
104	14014	119454
105	14142	119275
106	14271	119109
107	14418	119082
108	14539	118852
109	14667	118676
110	14794	118493
111	14929	118367
112	15077	118347
113	15211	118219
114	15332	117991
115	15454	117777
116	15579	117578
117	15718	117487
118	15846	117318
119	15981	117197
120	16111	117042
121	16242	116891
122	16371	116731
123	16505	116601
124	16637	116460
125	16779	116388
126	16911	116250
127	17058	116209
128	17179	115993
129	17327	115962
130	17449	115749
131	17571	115547
132	17695	115356
133	17834	115256
134	17950	115016
135	18086	114903
136	18212	114727
137	18347	114606
138	18486	114512
139	18623	114400
140	18760	114295
141	18880	114082
142	19004	113896
143	19126	113696
144	19257	113552
145	19379	113354
146	19517	113256
147	19649	113118
148	19775	112946
149	19907	112808
150	20036	112654
151	20155	112445
152	20288	112315
153	20429	112231
154	20589	112243
155	20723	112120
156	20863	112023
157	21008	111954
158	21129	111762
159	21252	111576
160	21395	111496
161	21525	111349
162	21680	111327
163	21815	111207
164	21948	111070
165	22079	110931
166	22217	110822
167	22350	110687
168	22476	110522
169	22619	110437
170	22752	110304
171	22886	110174
172	23021	110052
173	23156	109925
174	23295	109819
175	23425	109672
176	23564	109568
177	23686	109385
178	23836	109329
179	23971	109202
180	24109	109092
181	24240	108949
182	24363	108770
183	24492	108618
184	24624	108481
185	24771	108409
186	24916	108326
187	25056	108222
188	25198	108125
189	25329	107983
190	25457	107827
191	25603	107750
192	25739	107625
193	25873	107496
194	26009	107373
195	26129	107186
196	26265	107061
197	26394	106910
198	26515	106728
199	26658	106632
200	26786	106480
201	26924	106364
202	27072	106289
203	27201	106139
204	27340	106025
205	27491	105963
206	27630	105848
207	27778	105772
208	27912	105638
209	28025	105430
210	28153	105274
211	28285	105136
212	28412	104978
213	28551	104867
214	28673	104692
215	28809	104568
216	28943	104438
217	29080	104316
218	29229	104238
219	29368	104123
220	29510	104020
221	29641	103879
222	29759	103689
223	29895	103566
224	30030	103439
225	30152	103265
226	30291	103151
227	30425	103019
228	30548	102851
229	30682	102720
230	30805	102551
231	30944	102437
232	31081	102316
233	31220	102200
234	31351	102058
235	31491	101946
236	31631	101835
237	31757	101677
238	31896	101563
239	32033	101438
240	32169	101314
241	32309	101200
242	32431	101030
243	32571	100918
244	32718	100826
245	32854	100699
246	32985	100559
247	33119	100427
248	33258	100310
249	33400	100201
250	33530	100056
251	33656	99901
252	33792	99774
253	33925	99638
254	34056	99498
255	34191	99367
256	34322	99229
257	34462	99112
258	34602	98997
259	34740	98877
260	34863	98712
261	34982	98538
262	35123	98426
263	35259	98299
264	35401	98188
265	35540	98071
266	35661	97901
267	35792	97762
268	35938	97663
269	36081	97554
270	36208	97402
271	36348	97286
272	36483	97155
273	36609	97001
274	36744	96871
275	36885	96758
276	37041	96681
277	37182	96568
278	37311	96422
279	37434	96261
280	37572	96137
281	37704	95999
282	37839	95868
283	37961	95704
284	38087	95553
285	38225	95429
286	38367	95317
287	38499	95179
288	38645	95076
289	38792	94974
290	38925	94838
291	39059	94705
292	39191	94569
293	39328	94442
294	39463	94311
295	39609	94207
296	39754	94099
297	39895	93982
298	40006	93793
299	40137	93653
300	40257	93487
301	40399	93373
302	40537	93248
303	40665	93103
304	40793	92956
305	40924	92816
306	41059	92685
307	41204	92576
308	41346	92460
309	41474	92314
310	41603	92169
311	41748	92059
312	41887	91938
313	42026	91815
314	42154	91668
315	42291	91542
316	42423	91405
317	42572	91303
318	42706	91169
319	42848	91052
320	42973	90900
321	43105	90763
322	43334	90827
323	43472	90701
324	43615	90585
325	43749	90452
326	43883	90316
327	44016	90180
328	44149	90043
329	44278	89897
330	44400	89740
331	44542	89621
332	44666	89467
333	44805	89342
334	44936	89202
335	45084	89095
336	45207	88938
337	45352	88826
338	45489	88698
339	45632	88581
340	45769	88452
341	45918	88345
342	46054	88214
343	46186	88075
344	46316	87933
345	46457	87812
346	46587	87670
347	46725	87543
348	46855	87400
349	46998	87282
350	47136	87156
351	47281	87041
352	47416	86908
353	47555	86781
354	47689	86647
355	47837	86538
356	47964	86389
357	48102	86261
358	48246	86144
359	48364	85980
360	48502	85852
361	48619	85687
362	48759	85565
363	48886	85416
364	49027	85295
365	49163	85162
366	49292	85018
367	49436	84901
368	49559	84747
369	49697	84619
370	49819	84465
371	49965	84351
372	50105	84224
373	50241	84094
374	50365	83941
375	50511	83827
376	50633	83672
377	50773	83548
378	50915	83425
379	51048	83290
380	51168	83132
381	51290	82978
382	51433	82857
383	51562	82714
384	51702	82589
385	51824	82435
386	51968	82316
387	52103	82184
388	52232	82040
389	52367	81907
390	52491	81757
391	52622	81618
392	52743	81464
393	52879	81333
394	53000	81178
395	53202	81147
396	53326	80997
397	53459	80861
398	53587	80716
399	53724	80587
400	53846	80434
401	53978	80295
402	54109	80156
403	54247	80028
404	54389	79904
405	54520	79766
406	54649	79624
407	54790	79500
408	54916	79353
409	55034	79195
410	55151	79037
411	55292	78912
412	55433	78788
