iter	Passed	Remaining
413	55563	78647
414	55689	78502
415	55834	78383
416	55971	78252
417	56115	78131
418	56250	77998
419	56373	77849
420	56514	77724
421	56658	77603
422	56778	77450
423	56903	77302
424	57045	77178
425	57190	77059
426	57328	76930
427	57462	76795
428	57583	76643
429	57708	76497
430	57837	76355
431	57957	76203
432	58094	76073
433	58231	75942
434	58365	75808
435	58497	75671
436	58632	75538
437	58769	75407
438	58906	75276
439	59030	75129
440	59168	75000
441	59295	74857
442	59429	74723
443	59568	74594
444	59700	74457
445	59823	74309
446	59946	74161
447	60073	74018
448	60196	73871
449	60330	73737
450	60467	73606
451	60605	73476
452	60728	73329
453	60850	73181
454	60983	73045
455	61119	72914
456	61260	72788
457	61398	72659
458	61537	72531
459	61653	72375
460	61796	72252
461	61932	72120
462	62065	71985
463	62194	71845
464	62325	71707
465	62468	71583
466	62607	71455
467	62750	71331
468	62875	71187
469	63011	71055
470	63135	70909
471	63268	70774
472	63392	70629
473	63533	70503
474	63674	70377
475	63817	70253
476	63950	70117
477	64077	69975
478	64216	69846
479	64339	69701
480	64489	69583
481	64634	69461
482	64782	69343
483	64907	69199
484	65040	69063
485	65160	68914
486	65305	68792
487	65438	68656
488	65585	68536
489	65709	68391
490	65852	68267
491	65982	68127
492	66116	67993
493	66259	67868
494	66397	67739
495	66523	67596
496	66659	67464
497	66798	67334
498	66922	67191
499	67065	67065
500	67195	66927
501	67330	66794
502	67478	66673
503	67626	66552
504	67765	66423
505	67908	66297
506	68037	66159
507	68187	66040
508	68314	65898
509	68456	65771
510	68587	65634
511	68713	65492
512	68865	65375
513	69012	65252
514	69134	65107
515	69257	64962
516	69393	64830
517	69540	64707
518	69668	64567
519	69814	64444
520	69936	64298
521	70077	64170
522	70202	64027
523	70343	63899
524	70482	63769
525	70619	63637
526	70747	63498
527	70873	63356
528	71001	63216
529	71142	63088
530	71277	62955
531	71419	62827
532	71562	62700
533	71689	62560
534	71817	62420
535	71958	62292
536	72092	62157
537	72230	62026
538	72373	61899
539	72512	61770
540	72661	61648
541	72796	61514
542	72941	61388
543	73081	61259
544	73219	61128
545	73361	60999
546	73484	60856
547	73625	60727
548	73764	60596
549	73913	60474
550	74059	60349
551	74195	60216
552	74341	60091
553	74482	59962
554	74604	59817
555	74745	59688
556	74876	59551
557	75004	59411
558	75142	59280
559	75296	59161
560	75432	59028
561	75564	58892
562	75695	58754
563	75826	58617
564	75949	58474
565	76083	58339
566	76220	58207
567	76349	58068
568	76497	57944
569	76636	57813
570	76759	57670
571	76894	57536
572	77031	57404
573	77168	57271
574	77308	57141
575	77468	57025
576	77605	56892
577	77744	56761
578	77875	56624
579	77990	56475
580	78121	56339
581	78244	56196
582	78382	56064
583	78521	55932
584	78650	55794
585	78772	55651
586	78918	55525
587	79052	55390
588	79192	55260
589	79318	55119
590	79461	54991
591	79584	54848
592	79731	54722
593	79855	54581
594	79992	54448
595	80121	54310
596	80258	54178
597	80393	54043
598	80522	53905
599	80654	53769
600	80784	53632
601	80920	53498
602	81057	53365
603	81199	53236
604	81341	53107
605	81490	52982
606	81633	52853
607	81765	52717
608	81904	52585
609	82034	52448
610	82175	52318
611	82306	52181
612	82447	52050
613	82585	51918
614	82728	51789
615	82849	51646
616	82980	51509
617	83114	51374
618	83249	51240
619	83390	51110
620	83537	50983
621	83658	50840
622	83805	50713
623	83939	50578
624	84079	50447
625	84216	50314
626	84352	50180
627	84488	50047
628	84621	49912
629	84767	49784
630	84906	49652
631	85041	49518
632	85166	49377
633	85287	49235
634	85420	49099
635	85542	48958
636	85667	48818
637	85818	48693
638	85949	48557
639	86088	48424
640	86226	48292
641	86373	48164
642	86516	48034
643	86637	47892
644	86779	47762
645	86897	47618
646	87042	47489
647	87185	47360
648	87323	47227
649	87464	47096
650	87586	46954
651	87721	46820
652	87856	46686
653	87990	46551
654	88118	46413
655	88262	46283
656	88399	46150
657	88531	46014
658	88670	45882
659	88804	45747
660	88924	45605
661	89073	45478
662	89202	45341
663	89332	45204
664	89471	45072
665	89590	44930
666	89725	44795
667	89864	44663
668	90003	44530
669	90138	44396
670	90271	44261
671	90422	44134
672	90560	44001
673	90703	43871
674	90837	43736
675	90975	43603
676	91113	43470
677	91257	43340
678	91402	43210
679	91526	43071
680	91675	42943
681	91815	42811
682	91941	42672
683	92086	42542
684	92214	42405
685	92355	42273
686	92498	42142
687	92644	42013
688	92790	41883
689	92929	41750
690	93076	41621
691	93225	41493
692	93364	41360
693	93502	41227
694	93637	41092
695	93762	40953
696	93899	40819
697	94037	40686
698	94178	40554
699	94317	40421
700	94441	40282
701	94578	40148
702	94707	40011
703	94839	39875
704	94956	39733
705	95085	39596
706	95220	39462
707	95355	39327
708	95497	39195
709	95621	39056
710	95753	38920
711	95897	38789
712	96041	38658
713	96177	38524
714	96312	38390
715	96459	38260
716	96586	38122
717	96725	37989
718	96849	37850
719	96990	37718
720	97114	37579
721	97241	37441
722	97377	37307
723	97517	37175
724	97652	37040
725	97782	36904
726	97928	36773
727	98071	36642
728	98214	36510
729	98350	36376
730	98493	36244
731	98627	36109
732	98770	35977
733	98909	35844
734	99057	35714
735	99181	35575
736	99324	35444
737	99472	35314
738	99649	35194
739	99794	35063
740	99947	34934
741	100095	34804
742	100210	34662
743	100329	34521
744	100474	34390
745	100611	34256
746	100753	34124
747	100876	33985
748	101015	33851
749	101154	33718
750	101295	33585
751	101439	33453
752	101581	33320
753	101728	33189
754	101874	33058
755	101993	32918
756	102131	32784
757	102265	32649
758	102406	32516
759	102557	32386
760	102705	32255
761	102832	32118
762	102978	31986
763	103112	31851
764	103230	31711
765	103360	31575
766	103478	31434
767	103602	31296
768	103743	31163
769	103892	31032
770	104039	30901
771	104162	30762
772	104306	30630
773	104430	30492
774	104572	30359
775	104720	30228
776	104841	30089
777	104986	29957
778	105109	29819
779	105234	29681
780	105371	29547
781	105491	29408
782	105634	29275
783	105776	29142
784	105914	29008
785	106060	28876
786	106269	28761
787	106427	28632
788	106551	28494
789	106677	28357
790	106807	28220
791	106948	28087
792	107074	27950
793	107211	27815
794	107338	27678
795	107487	27547
796	107676	27425
797	107815	27291
798	107954	27157
799	108089	27022
800	108246	26892
801	108382	26757
802	108512	26621
803	108649	26486
804	108793	26353
805	108942	26221
806	109065	26083
807	109207	25950
808	109348	25816
809	109491	25683
810	109628	25548
811	109775	25416
812	109915	25282
813	110045	25145
814	110190	25012
815	110326	24877
816	110459	24741
817	110599	24607
818	110726	24470
819	110851	24333
820	110986	24198
821	111122	24063
822	111250	23926
823	111390	23792
824	111528	23657
825	111652	23520
826	111787	23384
827	111930	23251
828	112065	23116
829	112193	22979
830	112334	22845
831	112482	22712
832	112621	22578
833	112750	22441
834	112881	22305
835	113018	22171
836	113139	22033
837	113273	21897
838	113418	21764
839	113553	21629
840	113676	21491
841	113806	21355
842	113939	21220
843	114075	21084
844	114214	20950
845	114343	20814
846	114477	20678
847	114599	20541
848	114730	20405
849	114868	20270
850	114986	20132
851	115125	19998
852	115250	19861
853	115391	19727
854	115539	19594
855	115669	19458
856	115785	19320
857	115923	19185
858	116061	19050
859	116190	18914
860	116337	18781
861	116464	18645
862	116599	18510
863	116730	18374
864	116873	18240
865	117004	18104
866	117145	17970
867	117283	17835
868	117424	17701
869	117550	17564
870	117680	17429
871	117813	17293
872	117967	17161
873	118107	17026
874	118239	16891
875	118364	16754
876	118495	16619
877	118634	16484
878	118766	16349
879	118881	16211
880	119021	16076
881	119144	15939
882	119264	15802
883	119385	15666
884	119525	15531
885	119641	15394
886	119780	15259
887	119912	15124
888	120038	14987
889	120171	14852
890	120308	14717
891	120446	14583
892	120592	14449
893	120735	14315
894	120855	14178
895	120980	14042
896	121126	13908
897	121248	13772
898	121389	13637
899	121512	13501
900	121661	13367
901	121787	13231
902	121906	13095
903	122046	12960
904	122189	12826
905	122324	12691
906	122468	12557
907	122611	12423
908	122750	12288
909	122889	12153
910	123024	12018
911	123147	11882
912	123266	11746
913	123402	11611
914	123542	11476
915	123691	11342
916	123822	11207
917	123963	11073
918	124105	10938
919	124251	10804
920	124393	10670
921	124537	10535
922	124683	10401
923	124827	10267
924	124969	10132
925	125097	9997
926	125224	9861
927	125346	9725
928	125479	9589
929	125614	9454
930	125735	9318
931	125876	9184
932	126000	9048
933	126143	8913
934	126283	8779
935	126428	8644
936	126552	8508
937	126688	8373
938	126832	8239
939	126967	8104
940	127111	7969
941	127254	7835
942	127390	7700
943	127531	7565
944	127667	7430
945	127801	7295
946	127941	7160
947	128096	7026
948	128240	6891
949	128374	6756
950	128496	6620
951	128645	6486
952	128793	6351
953	128929	6216
954	129058	6081
955	129194	5946
956	129325	5810
957	129451	5675
958	129575	5539
959	129711	5404
960	129834	5269
961	129971	5134
962	130106	4998
963	130227	4863
964	130349	4727
965	130479	4592
966	130615	4457
967	130731	4321
968	130875	4186
969	131006	4051
970	131136	3916
971	131284	3781
972	131411	3646
973	131555	3511
974	131703	3377
975	131838	3241
976	131971	3106
977	132099	2971
978	132240	2836
979	132386	2701
980	132536	2566
981	132659	2431
982	132804	2296
983	132954	2161
984	133091	2026
985	133227	1891
986	133358	1756
987	133488	1621
988	133625	1486
989	133748	1350
990	133870	1215
991	134015	1080
992	134157	945
993	134284	810
994	134429	675
995	134564	540
996	134697	405
997	134830	270
998	134950	135
999	135087	0
