iter	Logloss
0	0.614308252
1	0.5764490069
2	0.5577600043
3	0.5449477082
4	0.5382654045
5	0.5324712863
6	0.5300071659
7	0.5281459948
8	0.5259088261
9	0.5244585405
10	0.5235505697
11	0.5227316846
12	0.5220276575
13	0.5212714458
14	0.5206055638
15	0.5201651646
16	0.5197998976
17	0.5194422163
18	0.5190202373
19	0.5187177042
20	0.5184853959
21	0.5180675208
22	0.5174216746
23	0.5169158803
24	0.516600664
25	0.5163800194
26	0.5161885084
27	0.5158402446
28	0.515547466
29	0.5153537778
30	0.5150743649
31	0.5149036847
32	0.5147015208
33	0.5145320932
34	0.5143398825
35	0.5141067188
36	0.5138923554
37	0.5136254704
38	0.5134512477
39	0.5132025237
40	0.5130840367
41	0.5128998264
42	0.5127412506
43	0.512616733
44	0.5123785842
45	0.5122346269
46	0.5121200366
47	0.5120060424
48	0.5119317915
49	0.511689098
50	0.5115320255
51	0.5114247617
52	0.5112640346
53	0.5111297799
54	0.5110284085
55	0.5108396537
56	0.5107241734
57	0.5106014184
58	0.5104807283
59	0.5103528153
60	0.5102654837
61	0.510175249
62	0.5100387998
63	0.5098512027
64	0.5096255903
65	0.5095224045
66	0.5093614009
67	0.5092572215
68	0.5091135062
69	0.5090139751
70	0.5088927753
71	0.5087938317
72	0.5086924171
73	0.5085455828
74	0.5083959665
75	0.5083064749
76	0.5080329458
77	0.5079417608
78	0.5078443292
79	0.5076728973
80	0.5076014802
81	0.5074939314
82	0.5073981932
83	0.5073241496
84	0.5072297938
85	0.5071536681
86	0.507041229
87	0.5069462511
88	0.5068401105
89	0.5067669051
90	0.5067152042
91	0.5066244166
92	0.5065611556
93	0.506486058
94	0.50632883
95	0.5062051419
96	0.5061577005
97	0.5060576337
98	0.5059610488
99	0.5058122446
100	0.5057073222
101	0.5056390847
102	0.5055134267
103	0.5054266221
104	0.5053080142
105	0.5051916008
106	0.5051209614
107	0.5050075547
108	0.5049506958
109	0.5048850243
110	0.5048278803
111	0.5047406956
112	0.5046301141
113	0.5045812039
114	0.50450297
115	0.5044425429
116	0.5043465369
117	0.5043137918
118	0.5042234017
119	0.5041358886
120	0.5040599789
121	0.5040115612
122	0.5038884346
123	0.5038144084
124	0.5037643491
125	0.5037087343
126	0.5036429332
127	0.5035669976
128	0.5035075986
129	0.5034055619
130	0.5033403224
131	0.5032601532
132	0.5032008838
133	0.5031553345
134	0.5030845396
135	0.503033815
136	0.5029930695
137	0.5029655774
138	0.5029092542
139	0.5028751182
140	0.5028235383
141	0.5027776693
142	0.5027228408
143	0.5026541281
144	0.5025910312
145	0.5025527307
146	0.5024820222
147	0.5024101127
148	0.5023538586
149	0.5022901916
150	0.502251701
151	0.5022083376
152	0.5021605333
153	0.5021151654
154	0.5020774611
155	0.5020248703
156	0.501992419
157	0.5018773794
158	0.5018075003
159	0.5017796022
160	0.501698569
161	0.501646583
162	0.5015444859
163	0.501451668
164	0.501428133
165	0.5013734773
166	0.5013231761
167	0.501218798
168	0.5011852841
169	0.5011231117
170	0.5010305789
171	0.5009579955
172	0.5008987261
173	0.5008550171
174	0.500783842
175	0.5007258945
176	0.500703284
177	0.5006626248
178	0.5006255426
179	0.5005449328
180	0.5004919532
181	0.5004504819
182	0.5004032565
183	0.5003330577
184	0.5003009261
185	0.500253692
186	0.5002257161
187	0.5001820158
188	0.5000632264
189	0.5000010109
190	0.4999289459
191	0.4998987237
192	0.4998658404
193	0.4998090765
194	0.4997432754
195	0.4997064005
196	0.4995872915
197	0.4995438417
198	0.499505308
199	0.4994313422
200	0.499379961
201	0.4993498338
202	0.4993053559
203	0.4992850781
204	0.4992278218
205	0.4991419849
206	0.4991096891
207	0.4990403803
208	0.4989920576
209	0.4989672266
210	0.4989144717
211	0.4988477115
212	0.4988158996
213	0.4987621684
214	0.4987213019
215	0.4986878916
216	0.4986653761
217	0.4986354909
218	0.4985887406
219	0.4985103599
220	0.4984926914
221	0.498442537
222	0.4984083232
223	0.4983871901
224	0.4983500647
225	0.4983188316
226	0.4983012409
227	0.4982819308
228	0.4982580416
229	0.498223439
230	0.4981759285
231	0.4981579489
232	0.498094446
233	0.4980523095
234	0.4980019737
235	0.4979834758
236	0.497938393
237	0.4979196877
238	0.4978989434
239	0.4978697926
240	0.4978116377
241	0.4977800418
242	0.4977555133
243	0.4977356416
244	0.4977044172
245	0.4976610624
246	0.4976245849
247	0.4976037283
248	0.4975487011
249	0.4975308857
250	0.4974853364
251	0.4974510276
252	0.49742986
253	0.4973979789
254	0.4973646377
255	0.4973153646
256	0.4972820321
257	0.4972333033
258	0.4971723578
259	0.4971159482
260	0.4970851298
261	0.4970581303
262	0.4969842682
263	0.4969664269
264	0.4969499334
265	0.4969386325
266	0.4969093089
267	0.4968606319
268	0.4968053369
269	0.4967653862
270	0.4967393111
271	0.4967114994
272	0.4966952738
273	0.4966493443
274	0.4966279521
275	0.4966063697
276	0.4965587036
277	0.496510355
278	0.4964767547
279	0.4964490898
280	0.4964142108
281	0.4963773618
282	0.496353464
283	0.496331536
284	0.4962889934
285	0.4961977825
286	0.4961542462
287	0.4961161359
288	0.4960724096
289	0.496060979
290	0.496028355
291	0.4960083364
292	0.4959745719
293	0.4959666578
294	0.4959503889
295	0.49589569
296	0.4958552296
297	0.4958360232
298	0.4958165058
299	0.4957974376
300	0.4957795791
301	0.4957397321
302	0.4957165254
303	0.4956878843
304	0.4956579386
305	0.4956510267
306	0.4956338679
307	0.4956121042
308	0.4955685161
309	0.4955335506
310	0.495509169
311	0.4954573298
312	0.4954201526
313	0.4953944749
314	0.4953586455
315	0.4953194292
316	0.4952737762
317	0.4952578616
318	0.4952351128
319	0.4952106016
320	0.4951870839
321	0.4951410853
322	0.4951079342
323	0.4950822739
324	0.4950470146
325	0.4950189005
326	0.4949940005
327	0.4949494361
328	0.4949353964
329	0.4949204753
330	0.494885579
331	0.4948543891
332	0.4948366688
333	0.4948199766
334	0.4947755418
335	0.4947483695
336	0.4946887372
337	0.4946698332
338	0.4946216315
339	0.4945779225
340	0.4945580163
341	0.4945301787
342	0.4945096417
343	0.4944672805
344	0.4944258611
345	0.4943649933
346	0.4943421668
347	0.4942851092
348	0.4942495217
349	0.4942431714
350	0.4942123876
351	0.494159192
352	0.4941389316
353	0.4940924233
354	0.4940789019
355	0.4940597733
356	0.4940101719
357	0.4939948793
358	0.4939684673
359	0.4939516282
360	0.4939488289
361	0.4939418566
362	0.4939179155
363	0.4938935943
364	0.493859657
365	0.493838714
366	0.4938018305
367	0.4937715219
368	0.4937450926
369	0.4936912144
370	0.4936638952
371	0.4936385113
372	0.4936256293
373	0.4935887112
374	0.4935559403
375	0.4935370104
376	0.4935115055
377	0.4934788296
378	0.4934665437
379	0.4934539382
380	0.4934286148
381	0.4934007167
382	0.4933662955
383	0.493341024
384	0.4933087282
385	0.4932999415
386	0.4932720261
387	0.4932476963
388	0.4932226839
389	0.493203538
390	0.4931824827
391	0.4931410546
392	0.4931162236
393	0.4930968444
394	0.4930738452
395	0.49305768
396	0.4930288747
397	0.4930032662
398	0.4929942289
399	0.4929766123
400	0.492939651
401	0.4929234858
402	0.4929134981
403	0.4928772712
404	0.4928557494
405	0.4928390053
406	0.4928200927
407	0.492804852
408	0.4927901556
409	0.4927663442
410	0.4927426278
411	0.4927151358
412	0.4926935189
413	0.4926330226
414	0.4926078979
415	0.4925851492
416	0.4925587458
417	0.4925388914
418	0.4925174128
419	0.4924990012
420	0.4924901886
421	0.4924601737
422	0.4924524324
423	0.4924243961
424	0.4923901823
425	0.4923638221
426	0.4923422743
427	0.4923228174
428	0.4923127433
429	0.4922833937
430	0.4922526963
431	0.4922361769
432	0.4921819964
433	0.4921560769
434	0.4921475839
435	0.4921209472
436	0.4920725122
437	0.4920603905
438	0.492042722
439	0.4920198005
440	0.4919889648
441	0.4919773356
442	0.4919687217
443	0.491933713
444	0.4919189907
445	0.4918990845
446	0.4918822454
447	0.491848092
448	0.4918334475
449	0.4918129019
450	0.4917968664
451	0.4917788868
452	0.4917416404
453	0.4917176648
454	0.4916947606
455	0.4916780425
456	0.4916528919
457	0.4916381091
458	0.4916123105
459	0.4915992557
460	0.4915796346
461	0.4915677634
462	0.4915520821
463	0.4915318216
464	0.4915226893
465	0.4915056429
466	0.4914845875
467	0.4914601022
468	0.4914354095
469	0.4914113216
470	0.4913874756
471	0.4913742566
472	0.4913396108
473	0.4913172768
474	0.4913009475
475	0.4912857932
476	0.4912644527
477	0.4912575668
478	0.4912256339
479	0.4912040602
480	0.4911729308
481	0.4911541046
482	0.4911310102
483	0.4911072161
484	0.4910944637
485	0.4910756893
486	0.4910442402
487	0.4910266408
488	0.4909929886
489	0.4909711298
490	0.4909271875
491	0.4909004212
492	0.4908769727
493	0.4908506816
494	0.4908147571
495	0.4908052014
496	0.4907692855
497	0.4907509863
498	0.4907133252
499	0.4907036572
500	0.4906741089
501	0.4906646137
502	0.4906583325
503	0.4906423229
504	0.4906284387
505	0.4906174574
506	0.4906052493
507	0.490590095
508	0.4905844964
509	0.4905697222
510	0.4905546198
511	0.4905421093
512	0.4905209762
513	0.490499031
514	0.4904791334
515	0.4904678065
516	0.4904558835
517	0.4904294456
518	0.490400839
519	0.4903549614
520	0.4903469955
521	0.4903183371
522	0.4903102847
523	0.4902891517
524	0.4902844257
525	0.4902718115
526	0.490251767
527	0.4902274286
528	0.4902161881
529	0.4901898798
530	0.4901820348
531	0.4901718829
532	0.4901299624
533	0.490111715
534	0.4900936923
535	0.4900702178
536	0.4900573012
537	0.4900325826
538	0.4900286515
539	0.4900032849
540	0.4899823851
541	0.4899698486
542	0.4899562927
543	0.4899390649
544	0.4899206706
545	0.4899051534
546	0.4898635439
547	0.4898543943
548	0.4898410371
549	0.4898154372
550	0.4898006112
551	0.4897938635
552	0.4897719355
553	0.4897419725
554	0.4897287795
555	0.4897214097
556	0.4897038103
557	0.4896454049
558	0.4896266305
559	0.4895971254
560	0.4895821266
561	0.4895643026
562	0.4895502715
563	0.4895353678
564	0.4895251641
565	0.4895113144
566	0.4894945358
567	0.4894748024
568	0.4894604689
569	0.4894433965
570	0.4894225399
571	0.4894090013
572	0.4893842308
573	0.489373552
574	0.4893439691
575	0.4893376966
576	0.48931792
577	0.4892951971
578	0.4892839049
579	0.4892788765
580	0.4892734938
581	0.4892656661
582	0.489226614
583	0.4892239443
584	0.4892112351
585	0.4891849267
586	0.4891753106
587	0.4891527346
588	0.4891483542
589	0.4891304697
590	0.4891189269
591	0.4891102438
592	0.4890912102
593	0.4890750019
594	0.4890643576
595	0.4890551475
596	0.4890403993
597	0.4890339021
598	0.4890246229
599	0.4890106954
600	0.4889940378
601	0.4889854671
602	0.4889698894
603	0.4889518062
604	0.4889532059
605	0.4889268889
606	0.4889108015
607	0.4888953361
608	0.4888800954
609	0.4888644227
610	0.4888609841
611	0.4888346844
612	0.488825768
613	0.4888175775
614	0.4887991832
615	0.4887845473
616	0.4887720109
617	0.4887524675
618	0.4887289671
619	0.4887301767
620	0.4887196707
621	0.4887018121
622	0.4886709765
623	0.4886581895
624	0.4886529796
625	0.4886449964
626	0.4886304037
627	0.4886178327
628	0.4886071107
629	0.4885847421
630	0.4885676697
631	0.4885534745
632	0.4885324883
633	0.4885096791
634	0.4884937212
635	0.4884802949
636	0.4884552307
637	0.4884363872
638	0.4884290433
639	0.4884155824
640	0.488404005
641	0.4883799517
642	0.4883514142
643	0.488324216
644	0.4883135026
645	0.4882925336
646	0.4882729298
647	0.4882637284
648	0.4882544319
649	0.4882415844
650	0.488227968
651	0.4882166153
652	0.4881966831
653	0.4881848033
654	0.4881736406
655	0.4881608969
656	0.4881483345
657	0.4881249119
658	0.4881137924
659	0.4880979815
660	0.4880779802
661	0.4880586183
662	0.4880522162
663	0.4880374334
664	0.4880305474
665	0.4880035651
666	0.4879984417
667	0.4879849376
668	0.4879702412
669	0.4879560892
670	0.4879424296
671	0.4879232404
672	0.4879059089
673	0.4878933984
674	0.4878840501
675	0.4878705805
676	0.4878516074
677	0.4878423801
678	0.4878374381
679	0.4878255842
680	0.4877954397
681	0.4877804842
682	0.4877693647
683	0.4877486549
684	0.4877472294
685	0.4877391511
686	0.4877324293
687	0.4877207137
688	0.487696643
689	0.4876855149
690	0.487683113
691	0.4876740066
692	0.4876605025
693	0.4876571071
694	0.4876475082
695	0.4876387906
696	0.4876235585
697	0.4876117046
698	0.487593751
699	0.4875832709
700	0.4875748298
701	0.487561654
702	0.4875485732
703	0.4875436313
704	0.4875482709
705	0.4875394841
706	0.4875320625
707	0.4875256172
708	0.4875025747
709	0.4874912392
710	0.4874809923
711	0.4874621402
712	0.4874304837
713	0.4874167032
714	0.487394732
715	0.4873793877
716	0.4873758367
717	0.4873629979
718	0.4873531744
719	0.4873256046
720	0.4873242222
721	0.4873104244
722	0.4873059316
723	0.4872935767
724	0.4872807033
725	0.4872663352
726	0.487249738
727	0.4872404761
728	0.4872333742
729	0.4872274386
730	0.4872110229
731	0.4872078607
732	0.4871907192
733	0.4871805847
734	0.4871551317
735	0.4871477878
736	0.4871306204
737	0.4871055303
738	0.4870938578
739	0.487081788
740	0.4870694502
741	0.4870577864
742	0.4870461658
743	0.4870374741
744	0.487022916
745	0.4870117187
746	0.4869931258
747	0.4869695995
748	0.4869479048
749	0.4869437231
750	0.4869262015
751	0.4869209657
752	0.4869124123
753	0.486906278
754	0.486859545
755	0.4868565038
756	0.4868396129
757	0.4868118876
758	0.4868060039
759	0.4868005608
760	0.4867945474
761	0.4867797819
762	0.4867659754
763	0.4867526182
764	0.4867346041
765	0.4867173849
766	0.4867115789
767	0.4867005545
768	0.4866635154
769	0.486656137
770	0.4866251718
771	0.4866162036
772	0.4865978612
773	0.4865862406
774	0.4865821021
775	0.486571717
776	0.4865640362
777	0.4865619885
778	0.4865469984
779	0.486527144
780	0.4865055184
781	0.4864955826
782	0.4864822168
783	0.4864700087
784	0.4864600555
785	0.4864455492
786	0.4864336608
787	0.4864306196
788	0.4864150765
789	0.4864039829
790	0.486387403
791	0.4863754887
792	0.486358831
793	0.4863516168
794	0.4863365834
795	0.4863195283
796	0.4863039075
797	0.4862800615
798	0.4862728386
799	0.4862622634
800	0.4862588075
801	0.4862498998
802	0.4862444826
803	0.4862362661
804	0.486208463
805	0.4862056292
806	0.4861840814
807	0.4861718819
808	0.4861560364
809	0.4861302119
810	0.4861225052
811	0.4861186172
812	0.4861038517
813	0.4860953328
814	0.4860829346
815	0.4860832197
816	0.4860727137
817	0.4860546996
818	0.4860453945
819	0.4860389059
820	0.4860182913
821	0.4860123902
822	0.4860045107
823	0.4859968644
824	0.4859837146
825	0.4859768718
826	0.4859568101
827	0.4859256202
828	0.4859204017
829	0.4859093427
830	0.4858848315
831	0.4858767359
832	0.4858673617
833	0.485861452
834	0.485856078
835	0.4858334848
836	0.4858258558
837	0.4858151683
838	0.4858058287
839	0.4857940957
840	0.4857860866
841	0.4857827084
842	0.4857686168
843	0.4857636403
844	0.4857548708
845	0.4857233353
846	0.4857075071
847	0.4857128984
848	0.4857088031
849	0.4856979428
850	0.4856856915
851	0.4856792894
852	0.4856715135
853	0.4856413431
854	0.4856186722
855	0.4856020923
856	0.4855830069
857	0.4855680254
858	0.485561701
859	0.4855582796
860	0.4855444213
861	0.4855355222
862	0.4855316516
863	0.4855276427
864	0.485506717
865	0.4854911739
866	0.4854630339
867	0.4854454345
868	0.4854280684
869	0.4854064083
870	0.4853971377
871	0.485389958
872	0.4853780091
873	0.4853673907
874	0.4853656714
875	0.4853575413
876	0.485347735
877	0.4853365119
878	0.4853303257
879	0.4853151628
880	0.4853106355
881	0.4852993605
882	0.4852821672
883	0.4852759638
884	0.485268378
885	0.4852657515
886	0.4852489556
887	0.4852435989
888	0.4852367821
889	0.4852235026
890	0.4852094283
891	0.4852036223
892	0.4851880447
893	0.4851781434
894	0.4851629459
895	0.4851330693
896	0.4851160574
897	0.485103616
898	0.4850883494
899	0.485073342
900	0.4850660067
901	0.4850538505
902	0.4850466448
903	0.4850348342
904	0.4850296416
905	0.4850240603
906	0.4850172002
907	0.4849991256
908	0.4849942441
909	0.4849848958
910	0.484980524
911	0.4849664929
912	0.4849631839
913	0.4849524618
914	0.4849368755
915	0.4849261362
916	0.4849069557
917	0.484879913
918	0.4848809497
919	0.4848612422
920	0.4848540193
921	0.4848501919
922	0.4848317717
923	0.484831668
924	0.4848122716
925	0.4848054979
926	0.4847907497
927	0.484783138
928	0.4847847796
929	0.4847814705
930	0.4847651412
931	0.4847557064
932	0.4847514384
933	0.4847371653
934	0.4847246289
935	0.4847031761
936	0.4846957459
937	0.4846624047
938	0.4846626725
939	0.4846579638
940	0.4846445375
941	0.4846323985
942	0.4846257285
943	0.4846102718
944	0.4846059692
945	0.4845996102
946	0.4845814147
947	0.4845697768
948	0.4845582945
949	0.4845528514
950	0.4845436586
951	0.4845300853
952	0.4845237869
953	0.4845232771
954	0.4845133845
955	0.4844929081
956	0.4844857283
957	0.4844663924
958	0.4844658394
959	0.484456301
960	0.484447186
961	0.4844361874
962	0.4844288695
963	0.4844151062
964	0.4844044965
965	0.4843983967
966	0.4843933251
967	0.4843866465
968	0.4843589558
969	0.4843577203
970	0.4843559837
971	0.4843380214
972	0.484327308
973	0.4843311873
974	0.4843196185
975	0.4843125252
976	0.4843090002
977	0.4842865625
978	0.4842816637
979	0.4842772746
980	0.4842680213
